Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
a2.LogView,log:view,@SocialDistanceView,social:distance:view,propertyChange,property:change,@SocialDistanceView:PropertyChangeListener:EventListener,social:distance:view:property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
a2.LogView,log:view,@SocialDistanceView,social:distance:view,propertyChange,property:change,@SocialDistanceView:PropertyChangeListener:EventListener,social:distance:view:property:change:listener:event:listener,java.beans.PropertyChangeEvent,property:change:event,java.beans.PropertyChangeEvent,property:change:event,getPropertyName,get:property:name
a2.LogView,log:view,@SocialDistanceView,social:distance:view,propertyChange,property:change,@SocialDistanceView:PropertyChangeListener:EventListener,social:distance:view:property:change:listener:event:listener,java.beans.PropertyChangeEvent,property:change:event,java.beans.PropertyChangeEvent,property:change:event,getNewValue,get:new:value
a2.LogView,log:view,@SocialDistanceView,social:distance:view,propertyChange,property:change,@SocialDistanceView:PropertyChangeListener:EventListener,social:distance:view:property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
a2.LogView,log:view,@SocialDistanceView,social:distance:view,propertyChange,property:change,@SocialDistanceView:PropertyChangeListener:EventListener,social:distance:view:property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
a2.LogView,log:view,@SocialDistanceView,social:distance:view,propertyChange,property:change,@SocialDistanceView:PropertyChangeListener:EventListener,social:distance:view:property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
a2.DerivedMain,derived:main,@SocialDistanceMVCDerivingMain,social:distance:mvc:deriving:main,main,main,@SocialDistanceView:PropertyChangeListener:EventListener,social:distance:view:property:change:listener:event:listener,a2.ModelFactory,model:factory,@SocialDistanceModelFactory,social:distance:model:factory,setSingleton,set:singleton
a2.DerivedMain,derived:main,@SocialDistanceMVCDerivingMain,social:distance:mvc:deriving:main,main,main,@SocialDistanceView:PropertyChangeListener:EventListener,social:distance:view:property:change:listener:event:listener,a2.DerivedModel,derived:model,@SocialDistancDerivingModel,social:deriving:model,DerivedModel,derived:model
a2.MVC,mvc,MVC,mvc,setupMVC,setup:mvc,@SocialDistanceView:PropertyChangeListener:EventListener,social:distance:view:property:change:listener:event:listener,a2.ModelFactory,model:factory,@SocialDistanceModelFactory,social:distance:model:factory,addPropertyChangeListener,add:property:change:listener
a2.MVC,mvc,MVC,mvc,setupMVC,setup:mvc,@SocialDistanceView:PropertyChangeListener:EventListener,social:distance:view:property:change:listener:event:listener,a2.ModelFactory,model:factory,@SocialDistanceModelFactory,social:distance:model:factory,getSingleton,get:singleton
a2.MVC,mvc,MVC,mvc,setupMVC,setup:mvc,@SocialDistanceView:PropertyChangeListener:EventListener,social:distance:view:property:change:listener:event:listener,a2.ViewFactory,view:factory,@SocialDistanceViewFactory,social:distance:view:factory,getSingleton,get:singleton
a2.MVC,mvc,MVC,mvc,setupMVC,setup:mvc,@SocialDistanceView:PropertyChangeListener:EventListener,social:distance:view:property:change:listener:event:listener,a2.ControllerFactory,controller:factory,@SocialDistanceControllerFactory,social:distance:controller:factory,processInput,process:input
a2.MVC,mvc,MVC,mvc,setupMVC,setup:mvc,@SocialDistanceView:PropertyChangeListener:EventListener,social:distance:view:property:change:listener:event:listener,a2.ControllerFactory,controller:factory,@SocialDistanceControllerFactory,social:distance:controller:factory,getSingleton,get:singleton
